"trialId","answer","correctAnswer","pid"
"q15","College Graduate","College Graduate","p82"
"q16","True","False","p82"
"q17","25%","25%","p82"
"q18","Lenovo","Lenovo","p82"
"q19","True","True","p82"
"q20","145","153","p82"
"q21","4.4-4.6","4.4-4.6","p82"
"q22","True","True","p82"
"q23","70.5kg","70.5kg","p82"
"q24","197.1cm","197.1cm","p82"
"q25","53.9 - 123.6kg","53.9 - 123.6kg","p82"
"q26","175.3cm","175.3cm","p82"
"q27","True","True","p82"
"q28","False","False","p82"
"q29","True","False","p82"
"q30","$5.1","$5.1","p82"
"q31","June 2014","December 2014","p82"
"q32","$4.6 - $6.1","$4.6 - $6.0","p82"
"q33","Falling","Falling","p82"
"q34","8000","4200","p82"
"q35","1 to 2","1 to 1","p82"
"q36","2012","2012","p82"
"q37","Rising","Rising","p82"
"q38","True","False","p82"
"q39","True","False","p82"
"q40","560km","530km","p82"
"q41","New York City","New York City","p82"
"q42","150 - 600 km","180 - 560 km","p82"
"q43","New York City","New York City","p82"
"q44","False","False","p82"
"q45","True","False","p82"
"q46","True","False","p82"
"q47","2.3 - 3.4%","3.4 - 4.6%","p82"
"q48","New Mexico (NM)","New Mexico (NM)","p82"
"q49","True","True","p82"
"q50","Google","Google","p82"
"q51","False","False","p82"
"q52","False","False","p82"
"q0","$50.24","$50.24","p62"
"q1","December","December","p62"
"q2","$48.36 - $60.95","$37.04 - $60.95","p62"
"q3","Rising","Falling","p62"
"q4","$17","$15","p62"
"q5","15 Mbps","15 Mbps","p62"
"q6","South Korea","South Korea","p62"
"q7","3.4 - 7.8 Mbps","2 - 20.5 Mbps","p62"
"q8","7 Countries","7 Countries","p62"
"q9","$23.4","$12","p62"
"q10","6 to 10","4 to 10","p62"
"q11","Washington D.C.","Washington D.C.","p62"
"q12","True","True","p62"
"q13","True","False","p62"
"q14","47%","38%","p62"
"q15","College Graduate","College Graduate","p62"
"q16","False","False","p62"
"q17","25%","25%","p62"
"q18","Lenovo","Lenovo","p62"
"q19","True","True","p62"
"q20","153","153","p62"
"q21","4.4-4.6","4.4-4.6","p62"
"q22","True","True","p62"
"q23","70.5kg","70.5kg","p62"
"q24","197.1cm","197.1cm","p62"
"q25","62.3 - 90.9kg","53.9 - 123.6kg","p62"
"q26","197.1cm","175.3cm","p62"
"q27","True","True","p62"
"q28","True","False","p62"
"q29","False","False","p62"
"q30","$5.1","$5.1","p62"
"q31","June 2014","December 2014","p62"
"q32","$4.6 - $6.1","$4.6 - $6.0","p62"
"q33","Falling","Falling","p62"
"q34","4200","4200","p62"
"q35","1 to 4","1 to 1","p62"
"q36","2012","2012","p62"
"q37","Rising","Rising","p62"
"q38","False","False","p62"
